Costume collections from the Royal Pavilion and Museums, Brighton & Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
The garment the pattern is for is a tunic suit with three variations. The pattern is a _Vogue Paris Original_ made by Pierre Cardin. The pattern pieces have been cut out. The front of the envelope has a banner across the top in the colours of the French flag, blue, white and red, which bears the words _Vogue Paris Original_ and the signature of the designer. The colour illustrations on the front of the envelope shows three outfits:  the red suit has a longer length semi-fitted coat with above the wrist sleeves; the blue outfit has a short, jacket version of the red coat;  the black and white check suit has an added detail at the collar and the addition of a pocket. All three outfits use the same skirt pattern. The reverse of the envelope has fabric requirements and line illustrations of the back views.  On the flap of the envelope is a statement _straight from Paris to you-the fashion in this envelope. Your Paris Original_._ Included in the pattern is a sew-in label _Vogue Original_. The price printed on the envelope is twelve shillings and sixpence.;;;;;;
"The outfit is almost secondary to the to the Vogue brand.  Everything from the large envelope, designer name from the fashion capital, Paris, down to the sew-in label bearing the _Vogue_ name would elevate the garment from being merely homemade into something with a brand name that suggested, style, exclusivity (wealth) and glamour."",dmas_ct005151_d01_cc1024.jpg";;;;;;;;
"CT005152,Costume,Dressmaking Pattern,,Lee Target,c1955,,,,,Paper,,""Knitting pattern for womens hats, 7 variations.This is a paper-knitting pattern made by Lee Target and made in Yorkshire, England circa 1955";;;;;;;;
The knitting pattern provides instructions for knitting women_s hats. There are seven variations. The yarns used are Motovravia double knitting wool, Poodle wool and Bri-Nylon double knitting. The colour photograph on the front of the pattern is of an informal group of three women chatting, drinking tea and eating biscuits.  The model on the left drinking tea is wearing a salmon pink textured hat accessorised with a tie threaded round it, the white fluffy hat is accessorised with a brooch, while the model with the biscuit is wearing a lacy knit hat in lilac. The black and white photograph on the back of the pattern shows a further three models wearing hats, a textured hat on the left, a white fluffy hat centre and a fluffy hat with a turn-up on the right.;;;;;;;;
"This pattern was purchased from 'Doris Longman, Wools and Needlework, 21, Bishorpric, Horsham' and cost 6d."",dmas_ct005152_d01_cc1024.jpg";;;;;;;;
CT005153,Costume,Dressmaking Pattern,,Simplicity,c1965,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope it was made by Simplicity and made in England circa 1965.";;;;;;;
This is a dress pattern for a two-piece dress with two skirts; there are three variations. The pattern pieces have been cut out. The front of the envelope has a colour illustration of three outfits.  On the left is an outfit of a smart fitted skirt and short-sleeved top, the outfit in the middle has a flared skirt and the stripy informal, summery outfit on the right has a sleeveless top.;;;;;;;
The reverse of the envelope shows line drawings of the back of the garments, has details of the fabric required for the garment and a visual description of the pattern pieces included.;;;;;;;;
"This pattern was purchased from 'Chart & Lawrence_."",dmas_ct005153_d01_cc1024.jpg";;;;;;;;
CT005154,Costume,Dressmaking Pattern,,Simplicity,c1965,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope it was made by Simplicity and made in England circa 1965.";;;;;;;
This is a paper dress pattern for 'Misses' Jiffy dress'. The pattern pieces have been cut out.  On the front of the envelope are colour illustrations of three dresses, a black one, a white one with a patch pocket and the rear view of a floral one.  The dresses are the same described as _casually fitted_ with a round neck at the front and a V back. The _Jiffy_ pattern was made as an easy to make quick to finish garment, attracting the beginner or the more accomplished home dressmaker who has limited time to make an outfit.  Patterns of this type have less structure and detail, contain as few pattern pieces as possible and generally use simple finishing methods. The reverse of the envelope shows details of the fabric required for the garment and a visual description of the pattern pieces included.;;;;;;;;
"This pattern was purchased from 'Chart & Lawrence_."",dmas_ct005154_d01_cc1024.jpg";;;;;;;;
"CT005155,Costume,Dressmaking Pattern,,Vogue,c1965,,,,,Paper,,""This is a one-size paper dress pattern in a paper envelope it was made by Vogue and made in London, England circa 1965.";;;;;;;;
This Vogue _Easy To Make_ paper dress pattern is for an evening dress in short and long lengths, the contents are missing.  The three colour illustrations on the front of the envelope show a back view of the long variation of the dress in raspberry pink and the short variation on the right has a three-quarter view in grey. The deep ;;;;;;;;
scooped back has bows on the shoulder straps.  The illustration shows the front view of the dress with a plain neckline and darts in the bodice. The reverse of the envelope shows a line drawing of the back of the garment and has details of the fabric required for the garment. This pattern uses only three pattern pieces.  ;;;;;;;;
"The _easy to make_ pattern was made as an easy to make, quick to finish garment, attracting the beginner or the more accomplished home dressmaker who has limited time to make an outfit.  Patterns of this type have less structure and detail, contain as few pattern pieces as possible and generally use simple finishing methods."",dmas_ct005155_d01_cc1024.jpg";;;;;;;;
"CT005156,Costume,Dressmaking Pattern,,Simplicity,1960,,,,,Paper,,""This is a one-size paper dress pattern in a paper envelope it was made by Simplicity and made in England, UK, circa 1960";;;;;;;;
The outfits the pattern is for are described as a '7 day wardrobe_, _Simple to Make_.  The contents are missing.  On the front of the envelope the main colour illustration shows the two different dress styles used as the basis for the outfits depicted in the small illustrations on the outfits on the right.  The dress can have; a full skirt or slim fitting skirt that is softly gathered at the waist, elbow length sleeves or no sleeves. The pattern includes an elbow length jacket pattern that can be made without sleeves into a waistcoat.  Depending on the style of dress chosen the different types of fabrics and accessories transform the basic pattern into smart daywear fig. 4 and 7 or casual pretty daywear fig.5.  Purchasing one pattern that could create so many different looks would be very economical to those on a budget. ;;;;;;;
The _Simple to make_ pattern was made as an easy to make, quick to finish garment, attracting the beginner or the more accomplished home dressmaker who had limited time to make an outfit.  Patterns of this type have minimal structure and detail, contain as few pattern pieces as possible and generally use simple finishing methods. The reverse of the envelope shows details of the fabric required for the garment and a visual description of the pattern pieces included.  ;;;;;;;;
"This pattern was priced -/4."",dmas_ct005156_d01_cc1024.jpg";;;;;;;;
CT005169,Costume,Dressmaking Pattern,,Vogue,c1958,,,,,Paper; Paper tissue;" Cellophane,,""This is a one-size paper dress pattern in paper envelope and a cellophane wallet it was made by Vogue and made in London, England circa 1958";;;;;;
The outfit the pattern is for is described as a one-piece sheath dress and coat. The pattern is a 'Vogue Couturier Design'. The front of the envelope has the caption_ This Vogue Couturier Design is an exclusive pattern created by a leading fashion designer_ bringing you excellence of detail plus the excitement of trend-setting fashion news._ The main black and white photo has a model wearing a spotted print dress and three quarter length sleeve coat.  The inset picture shows the back detail, the back is open from the neck to the waist finishing with a bow detail.  The style of photograph is like that found in a Vogue magazine of the time. Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope. ;;;;;;;;
The outfit is almost secondary to the to the Vogue brand.  Everything from the cellophane wrap on the large envelope, imagery, the notion of couture wear, elevates the garment from being merely homemade into something with a brand name that suggested, style, exclusivity (wealth) and glamour;;;;;;;;
"This pattern was purchased from _John Lewis & Company Limited'."",dmas_ct005169_d01_cc1024.jpg";;;;;;;;
CT005170,Costume,Dressmaking Pattern,,Vogue; Griffe,1951,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in paper envelope made by Griffe for Vogue, made in London, England circa 1951.";;;;;;
The garment this pattern is for is a one-piece dress.  The pattern is a 'Paris Original Model_ by Griffe. The pattern pieces have been cut out. The large colour illustration on the front of the envelope is of a yellow and black spotted dress.  The bodice is asymmetrical with a swag of fabric extending below the waist line resting on the right hip.  The skirt has a patch pocket on the right. A smaller illustration depicts the back of the garment. The photograph on the right brings the illustration to life, it is like a picture from a magazine. The poster in the photograph and the red white and blue writing are a further reminder that Paris was the Fashion capital.;;;;;;;;
Vogue is synonymous with glamour so everything about the pattern from the large envelope, imagery, the notion of couture wear and designer name suggests that the resulting garment was more than merely homemade into something with a brand name that suggested, style, exclusivity (wealth) and glamour. ;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"The purchase price was 7/6."",dmas_ct005170_d01_cc1024.jpg";;;;;;;;
CT005171,Costume,Dressmaking Pattern,,Vogue; Christian Dior,c1975,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in paper envelope made by Christian Dior for Vogue.  It was made in England, UK circa 1975.";;;;;;
The garment this pattern is for is a dress. The pattern is a 'Vogue Paris Original' by Christian Dior.  On the flap of the envelope there is a statement, _This Paris Original was selected by Vogue patterns from the Designer_s collection then transferred line for line into pattern form__ ;;;;;;;;
The front of the envelope shows two images of the dress, on the right there is a colour illustration showing the back of the dress and a photograph of a three-quarter front view. The knee length dress in red is a softly tailored; there is a panel around the torso with a tie around the back. It has a v-neck and is gathered under the bust; the skirt has four panels and is slightly flared.  There are two sleeve lengths, short or long.  Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope, it states the pattern is _suitable for knits_ reflecting the fashion trend of the time. ;;;;;;
Everything about the pattern from the large envelope, designer name, a fashion capital and the sew-in label bearing the _Vogue_ name would give the resulting homemade garment a brand name that suggested, style, exclusivity (wealth) and glamour.;;;;;;;;
"This pattern was purchased from Hanningtons Ltd., Brighton, priced œ1.25"",dmas_ct005171_d01_cc1024.jpg";;;;;;;;
CT005172,Costume,Dressmaking Pattern,,Vogue; Molyneux,c1973,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope made by Molyneux for Vogue.  It was made in England, UK circa 1973.";;;;;;
The garment pattern is for a dress. The pattern is a 'Vogue Paris Original' by Molyneux.  On the flap of the envelope there is a statement, _This Paris Original was selected by Vogue patterns from the Designer_s collection then transferred line for line into pattern form__ ;;;;;;;;
The front of the envelope has two images, a photograph and colour illustration shows a softly tailored knee length dress, it has long sleeves with contrasting cuffs and collar.  The bodice is a v-shaped panel front and back.  Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope. It states the pattern is _suitable for knits_ reflecting the fashion trend of the time.;;;;;;;;
Everything about the pattern from the large envelope, designer name from the fashion capital, Paris, down to the sew-in label bearing the _Vogue_ name would give the resulting homemade garment a brand name that suggested style, exclusivity and glamour.;;;;;;;;
"This pattern was purchased for œ1.05"",dmas_ct005172_d01_cc1024.jpg";;;;;;;;
CT005173,Costume,Dressmaking Pattern,,Vogue; Molyneux,1951,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in paper envelope made by Molyneux for Vogue, London, England circa 1951.";;;;;;
The garment this pattern is for is a one-piece dress.  The pattern is a 'Paris Original Model_ by Molyneux. The pattern pieces have been cut out. The illustration on the front of the envelope is of a straight fitted skirt and flared jacket.  The look is reminiscent of the New Look style launched by Christian Dior in 1947.   ;;;;;;;;
A smaller illustration depicts the back of the garment. The photograph on the right brings the illustration to life; it is like a picture from a fashion magazine. ;;;;;;;
Vogue is synonymous with glamour so everything about the pattern from the large envelope, imagery, the notion of couture wear and designer signature suggests that the resulting garment was more than a homemade garment, but a garment branded with couture associations. ;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"The purchase price was 7/6."",dmas_ct005173_d01_cc1024.jpg";;;;;;;;
CT005174,Costume,Dressmaking Pattern,,Vogue; Sybil Connolly,c1975,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope made by Sybil Connolly for Vogue. It was made in London, England circa 1975.";;;;;;
The pattern is for a coat and dress outfit.  The pattern is a 'Vogue Couturier Design_.  There are two photographs; one of a plaid fitted dress with short sleeves and the second of a checked A-line coat with raglan sleeves, mandarin collar and curved patch pockets. The designers_ name is below the photograph on the left.;;;;;;;
Fabric requirements, colour illustrations of both the dress and coat, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
Everything about the pattern from the large envelope, designer name, a fashion capital and the sew-in label bearing the _Vogue_ name would give the resulting homemade garment a brand name that suggested style, exclusivity and glamour.;;;;;;;;
"This pattern was purchased from Vokins, Brighton, priced œ1.50."",dmas_ct005174_d01_cc1024.jpg";;;;;;;;
CT005175,Costume,Dressmaking Pattern,,Vogue; Anne Klein,c1980,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope made by Anne Klein for Vogue"; it was made in London, England circa 1980;;;;;
The pattern is for a dress.  The pattern is a 'Vogue American Designer' by Anne Klein. A photograph of the dress, like a picture from a magazine, is on the left and an illustration of a short-sleeved version of it is on the right. The designers_ name is on the left.  The below-the-knee dress is a full-skirted, button through with lapels and collar. The sleeves have deep turned back cuffs.;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope. ;;;;;;;;
The designers_ name is on the left.  The below the knee dress is a full-skirted, button through with lapels and collar. The sleeves have deep turn ups.;;;;;;;;
"This pattern was purchased from Liberty & co, London, priced œ1.75"",dmas_ct005175_d01_cc1024.jpg";;;;;;;;
CT005176,Costume,Dressmaking Pattern,,Vogue; Chloe,c1978,,,,,Paper;" Paper tissue,,""This is a paper dress pattern in a paper envelope made by Chloe for Vogue it was made in London, England circa 1978.";;;;;;
The outfit this pattern is for is a dress, top and scarf.  This pattern is a 'Vogue Paris Original' pattern by Chloe. A photograph of the dress, like a picture from a magazine, is on the left and an illustration of a longer-sleeved version of it is on the right. The designers_ name is on the left.  The below the knee, flared dress has a seam down the centre front and back, a collar and centre opening. Both dresses are worn over the top and the illustration in fuchsia pink shows the scarf.;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope. ;;;;;;;;
Everything about the pattern from the large envelope, designer name, a fashion capital and the sew-in label bearing the _Vogue_ name would give the resulting homemade garment a brand name that suggested style, exclusivity and glamour.;;;;;;;;
"This Pattern was purchased from Hanningtons Ltd., Brighton, price œ1.25."",dmas_ct005176_d01_cc1024.jpg";;;;;;;;
CT005177,Costume,Dressmaking Pattern,,Vogue; Nina Ricci,c1973,,,,,Paper;" Paper tissue,,""This is a one-size paper pattern in a paper envelope designed by Nina Ricci for Vogue. It was made in London, England circa 1973.";;;;;;
The outfit this pattern is for is a dress. It is a 'Vogue Paris Original' pattern by Nina Ricci. A photograph of the dress, like a picture from a magazine, is on the left and an illustration of a shorter-sleeved version of it is on the right. The designers_ name is at the bottom.  The knee length dress has a centre and back seam with a pleat from just below the waist centre front, and back and seams for shaping front and back, with large patch pockets on the hips. The photograph of the brown dress shows an open necked version, while the cream illustration is a round neck with topstitching detail.;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope. ;;;;;;;;
"The pattern was purchased for 75p"",dmas_ct005177_d01_cc1024.jpg";;;;;;;;
CT005178,Costume,Dressmaking Pattern,,Vogue,1950,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope for a man_s dressing gown made by Vogue, London, England, circa 1950.";;;;;;;
"The pattern pieces have been cut out. The front of the envelope shows printed line drawings of the dressing gown. A chart inside the envelope has details of the amount of fabric required.  Dressing gowns of this style are still popular today."",dmas_ct005178_d01_cc1024.jpg";;;;;;;;
CT005179,Costume,Dressmaking Pattern,,Vogue,1949,,,,,Paper;" Paper tissue,,""This is a paper pattern in a paper wallet for a three-quarter-length coat, made by Vogue in London, England circa 1949.";;;;;;;
The garment the pattern is for is a coat. The colour illustration on the front shows a three-quarter length coat in blue and a shorter version of the coat in blue. The coat has a straight front and flared back. Topstitching detail on the side front is optional, it has a built up neckline. The straight sleeves have saddle shoulders. Two small line illustrations show the back detail and the coat belted.;;;;;;;;
The reverse of the envelope has details of fabric requirements and a visual description of the pattern pieces.;;;;;;;;
"The pattern was purchased for 4/3."",dmas_ct005179_d01_cc1024.jpg";;;;;;;;
CT005180,Costume,Dressmaking Pattern,,McCall,c1935,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope, made by McCalls, USA, circa 1935.";;;;;;;
The garment the pattern is for is a woman_s evening jacket. The colour illustrations on the front of the envelope show the jacket in a floral fabric and in black. A line illustration shows the back view. The jacket is loose fitting with broad shoulders, wide sleeves, stand-up collar and a yoke. There is one fastening at the neck.;;;;;;;;
"The reverse of the envelope has details of fabric requirements and a visual description of the pattern pieces."",dmas_ct005180_d01_cc1024.jpg";;;;;;;;
CT005181,Costume,Dressmaking Pattern,,Vogue; Sally Victor,c1960,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope designed by Sally Victor for Vogue, made in London, England, circa 1960.";;;;;;
The pattern is for a woman's 'beretta' hat, titled 'An original by Sally Victor'. The hat is illustrated in four different fabrics. There is a magazine-style photograph of a model wearing the hat.;;;;;;;;
The reverse of the envelope has details of fabric requirements and a visual description of the pattern pieces.;;;;;;;;
"The pattern was purchased from Selfridges, London."",dmas_ct005181_d01_cc1024.jpg";;;;;;;;
CT005182,Costume,Dressmaking Pattern,,Pictorial Review,c1938,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made for Pictorial Review, made in USA, circa 1938.";;;;;;;
The garment the pattern is for is a wraparound dress, 'suitable for maternity wear'. Colour illustrations show the dress in a grey floral fabric and a plain grey fabric. The bodice is gathered over the bust. The dress wraps round and ties on the left. There is a long sleeved and three-quarter sleeved version.;;;;;;;;
The reverse of the envelope has details of fabric requirements and a visual description of the pattern pieces.;;;;;;;;
"The pattern was purchased from Selfridges, London"",dmas_ct005182_d01_cc1024.jpg";;;;;;;;
CT005183,Costume,Dressmaking Pattern,,Simplicity,c1947,,,,,Paper;" Paper tissue,,""This is a paper pattern in a paper wallet made by Simplicity, London, England, circa 1947.";;;;;;;
The garment the pattern is for is a knee-length dress.  Colour illustrations show the dress in a grey fabric and a red and white polka dot fabric. The dress has a yoke and the bodice gathers over the bust. The shoulders are broad. Sleeves are depicted both short and long and the pockets gathered or flat.;;;;;;;;
"The reverse of the envelope has details of fabric requirements and a visual description of the pattern pieces."",dmas_ct005183_d01_cc1024.jpg";;;;;;;;
CT005184,Costume,Dressmaking Pattern,,Vogue; Guy Laroche,c1970,,,,,Paper;" Paper tissue,,""This is a paper pattern in a paper envelope designed by Guy Laroche for Vogue, made in London, England circa 1970.";;;;;;
The garment this pattern is for is a dress and jacket. The pattern is a 'Vogue Paris Original' by Guy Laroche.  The model in the photograph on the left of the envelope is wearing the jacket and below-the-knee dress made from a cream fabric. The colour illustrations show the outfit in green with a shorter length dress and as a skirt. The Jacket is waist length, double breasted and has two breast pockets. The wrap round skirt fastens with buttons to match the jacket.;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
Everything about the pattern from the large envelope, designer name from the fashion capital, Paris, down to the sew-in label bearing the _Vogue_ name would give the resulting homemade garment a brand name that suggested style, exclusivity and glamour.;;;;;;;;
"This pattern was purchased for 90 pence."",dmas_ct005184_d01_cc1024.jpg";;;;;;;;
CT005187,Costume,Dressmaking Pattern,,Fleetway Patterns,c1960,,,,,Paper;" Paper tissue,,""This is a paper pattern in a paper envelope made for D.H. Evans by Fleetway Patterns, made in London, England, circa 1960.";;;;;;;
The garment this pattern is for is a dress. The line illustrations show a semi-fitted knee length dress with a seam centre front and darts for shaping. ;;;;;;;;
"Fabric requirements and a visual description of the pattern pieces are on the reverse of the envelope. There is also an advert for Lightning zips."",dmas_ct005187_d01_cc1024.jpg";;;;;;;;
CT005188,Costume,Dressmaking Pattern,,Vogue,1949,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Vogue, London, England, circa 1949.";;;;;;;
The garment this pattern is for is a cape-stole.  There are four colour illustrations of the cape-stole showing the garment in various fabrics and colours, grey with a yellow checked lining, red and astrakhan fabric. The garment has a built up collarless neckline and is depicted with optional belt and pockets.;;;;;;;;
"Fabric requirements and a visual description of the pattern pieces are on the reverse of the envelope."",dmas_ct005188_d01_cc1024.jpg";;;;;;;;
CT005189,Costume,Dressmaking Pattern,,Vogue,c1960,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Vogue, London, England, circa 1960.";;;;;;;
The garments the pattern is for is a dress and jacket. It is a _Vogue Special Design_. There are two variations on the cowl necked dress. The floral dress illustrated has a slim fitting skirt and is short sleeved, whilst the black dress has longer sleeves and a flared skirt. The green outfit shows the slightly fitted, box jacket that finishes at the top of the hip. ;;;;;;;;
"Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope."",dmas_ct005189_d01_cc1024.jpg";;;;;;;;
CT005190,Costume,Dressmaking Pattern,,Vogue,1951,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Vogue, London, England, circa 1951.";;;;;;;
The garment this pattern is for is a dress. It is a _Vogue Special Design_. The colour illustration on the front of the envelope shows a front and a back view of the dress. The asymmetric dress has a slim skirt with overskirt; it has a diagonal wrapped front, folding back to form a lapel. Sleeves are a kimono style with turned back cuffs. ;;;;;;;
"Fabric requirements and a visual description of the pattern pieces are on the reverse of the envelope."",dmas_ct005190_d01_cc1024.jpg";;;;;;;;
CT005191,Costume,Dressmaking Pattern,,Vogue,1950,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Vogue, London, England, circa 1950.";;;;;;;
The garment this pattern is for is a coat. The colour illustration on the front of the envelope shows colour illustrations of the full length, flared coat in red and grey. The two small line illustrations show the back view and the wide shaped sleeves.;;;;;;;;
"Fabric requirements and a visual description of the pattern pieces are on the reverse of the envelope."",dmas_ct005191_d01_cc1024.jpg";;;;;;;;
CT005192,Costume,Dressmaking Pattern,,Vogue; Sally Victor,c1955,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope, designed by Sally Victor for Vogue, London, England, circa 1955.";;;;;;
This paper pattern is for a hat, it is titled 'An original by Sally Victor'. The colour illustrations show a draped toque on a headband, from various angles.  The colours shown are red, blue and a black stripe.;;;;;;;;
Fabric requirements and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"The pattern was purchased from John Lewis & Company."",dmas_ct005192_d01_cc1024.jpg";;;;;;;;
CT005193,Costume,Dressmaking Pattern,,Vogue; John Frederics,c1955,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope, designed by John Frederics for Vogue, London, England, circa 1955.";;;;;;
This paper pattern is for a hat, it is titled 'An original by John Frederics'. The colour illustrations show a draped toque with looped extensions on the side, from various angles. ;;;;;;;;
Fabric requirements and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"The pattern was purchased from John Lewis & Company."",dmas_ct005193_d01_cc1024.jpg";;;;;;;;
CT005194,Costume,Dressmaking Pattern,,Vogue,c1960,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Vogue, London, England, circa 1960.";;;;;;;
The garment this pattern is for is a coat. The colour illustrations on the front depict the coat in three different colours, brown, beige and blue and green check. This pattern is described as _very easy to make_ as it has relatively few pattern pieces and is not a fitted garment.;;;;;;;;
Fabric requirements and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"The pattern was purchased from Selfridges Ltd, London."",dmas_ct005194_d01_cc1024.jpg";;;;;;;;
CT005195,Costume,Dressmaking Pattern,,Le Roy,c1965,,,,,Paper; Paper tissue;" Cotton Corduroy,,""This is a paper pattern in an envelope made by Le Roy, England, circa 1965.";;;;;;
The garment this pattern is for is a child_s dress.  The packet contains pieces of red cord and red synthetic fabric. The colour illustrations show the variations on the pleated front, short sleeved dress. The plain colour dress has a trim around the sleeve and neck edge and the check dress has a peter pan collar and patch pockets. There are two small line illustrations showing the back view. This pattern would be very easy to make due to its simple shaping.;;;;;;;;
Fabric requirements, and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"The pattern was purchased from Stuart Norris Ltd, 141/151 Church Road, Hove."",dmas_ct005195_d01_cc1024.jpg";;;;;;;;
CT005196,Costume,Dressmaking Pattern,,Simplicity,1971,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Simplicity, England, circa 1971.";;;;;;;
The garment this pattern is for is a child_s dress and blouse.  It is a _How to sew_ pattern.  The colour photograph in the centre and two colour illustrations show the patch pocket, above the knee, sleeveless dress with an appliqu‚ heart and with trim, this is worn over the blouse.;;;;;;;;
The _How to sew_ pattern is aimed at making some of the trickier processes for the home dressmaker easier by its inclusion of instructions on how to fit a zip.;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"This pattern was purchased from Bearmans Ltd. for 20 pence."",dmas_ct005196_d01_cc1024.jpg";;;;;;;;
CT005197,Costume,Dressmaking Pattern,,Simplicity,1972,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Simplicity, England, circa 1972.";;;;;;;
The outfit this pattern is for is a girl's skirt, bell-bottomed pants and unlined jacket. The colour illustrations show the front view of the trousers and jacket with patch pockets in beige, a back view of the same outfit in orange and illustration on the right shows the jacket in a plaid and a dark brown skirt.;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"This pattern has a suggested retail price of 40 pence and a handwritten price of 20 pence."",dmas_ct005197_d01_cc1024.jpg";;;;;;;;
CT005198,Costume,Dressmaking Pattern,,Butterick,c1970,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Butterick, England, circa 1970.";;;;;;;
The garment this pattern is for is a skirt. The colour illustrations show the A-line mini skirt in blue and the longer length in red. The simple to make garment is reinforced by the caption, _only two easy main pattern pieces_.;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"This pattern has a suggested retail price of 6/- (30p) and 10p handwritten in pencil on the front of the packet."",dmas_ct005198_d01_cc1024.jpg";;;;;;;;
CT005200,Costume,Dressmaking Pattern,,Simplicity,1964,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Simplicity, England, circa 1964.";;;;;;;
The garment this pattern is for is a Misses_ suit.  It is a _How to sew_ pattern. The colour illustration shows an A line skirt and jacket in cream, orange and grey plaid against a blue background. The three quarter length sleeved jacket has darts at the elbow and bust. The two variations are with and without patch pockets, with a collar and collarless.;;;;;;;;
The _How to sew_ pattern is aimed at making some of the basic but trickier processes for the home dressmaker easier by its inclusion of instructions on _how to _use interfacing_. ;;;;;;;;
"Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope."",dmas_ct005200_d01.a_cc1024.jpg";;;;;;;;
CT005201,Costume,Dressmaking Pattern,,Simplicity,1964,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Simplicity, England, circa 1964.";;;;;;;
"The garment this pattern is for is a two-piece suit with A-line skirt.  It is a _How to Sew_ pattern, aimed at the younger or less skilled dressmaker. The suit is illustrated in three variations of cloth and detailing. It is pattern number 5648, size 12."",dmas_ct005201_d01_cc1024.jpg";;;;;;;;
CT005202,Costume,Dressmaking Pattern,,Simplicity,c1960,,,,,Paper; Paper tissue;" Cotton,,""This is a paper pattern in an envelope made by Simplicity, England, circa 1960.";;;;;;
The garment this pattern is for is a dress. Inside the envelope is a piece of paisley-print cotton fabric.  The colour illustrations on the front of the envelope show three variations of the shift dress, the main illustration shows a long sleeved version and the two smaller illustrations show the different lengths and optional side vents with bow detail.;;;;;;;;
Fabric requirements, line illustrations of the back views and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
This pattern was purchased from 'Stuart Norris Ltd, 141/151 Church Road, Hove,;;;;;;;;
"priced 4/-."",dmas_ct005202_d01_cc1024.jpg";;;;;;;;
CT005203,Costume,Dressmaking Pattern,,Le Roy,c1965,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by Le-Roy, England, circa 1965.";;;;;;;
The outfit the pattern is for is a three-piece suit. The red and orange colour illustration on the front of the envelope shows the straight skirt and top with an edge-to-edge jacket with fold back revers. Both the jacket and the top are edged with braid. The suit can be made in reversible material.;;;;;;;;
Fabric requirements and a visual description of the pattern pieces are on the reverse of the envelope.;;;;;;;;
"This pattern was purchased from 'Stuart Norris Ltd, 141/151 Church Road, Hove, priced 4/1."",dmas_ct005203_d01_cc1024.jpg";;;;;;;;
CT005204,Costume,Dressmaking Pattern,,McCall's,1966,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope made by McCalls, New York, USA, circa 1965.";;;;;;;
